Country,Country_Code,Population,Year
Afghanistan,AFG,34656032,2016
Albania,ALB,2876101,2016
Algeria,DZA,40606052,2016
American Samoa,ASM,55599,2016
Andorra,AND,77281,2016
Angola,AGO,28813463,2016
Antigua and Barbuda,ATG,100963,2016
Arab World,ARB,406452690,2016
Argentina,ARG,43847430,2016
Armenia,ARM,2924816,2016
Aruba,ABW,104822,2016
Australia,AUS,24127159,2016
Austria,AUT,8747358,2016
Azerbaijan,AZE,9762274,2016
Bahrain,BHR,1425171,2016
Bangladesh,BGD,162951560,2016
Barbados,BRB,284996,2016
Belarus,BLR,9507120,2016
Belgium,BEL,11348159,2016
Belize,BLZ,366954,2016
Benin,BEN,10872298,2016
Bermuda,BMU,65331,2016
Bhutan,BTN,797765,2016
Bolivia,BOL,10887882,2016
Bosnia and Herzegovina,BIH,3516816,2016
Botswana,BWA,2250260,2016
Brazil,BRA,207652865,2016
British Virgin Islands,VGB,30661,2016
Brunei Darussalam,BRN,423196,2016
Bulgaria,BGR,7127822,2016
Burkina Faso,BFA,18646433,2016
Burundi,BDI,10524117,2016
Cabo Verde,CPV,539560,2016
Cambodia,KHM,15762370,2016
Cameroon,CMR,23439189,2016
Canada,CAN,36286425,2016
Caribbean small states,CSS,7245472,2016
Cayman Islands,CYM,60765,2016
Central African Republic,CAF,4594621,2016
Central Europe and the Baltics,CEB,102974082,2016
Chad,TCD,14452543,2016
Channel Islands,CHI,164541,2016
Chile,CHL,17909754,2016
China,CHN,1378665000,2016
Colombia,COL,48653419,2016
Comoros,COM,795601,2016
Costa Rica,CRI,4857274,2016
Cote d'Ivoire,CIV,23695919,2016
Croatia,HRV,4170600,2016
Cuba,CUB,11475982,2016
Curacao,CUW,159999,2016
Cyprus,CYP,1170125,2016
Czech Republic,CZE,10561633,2016
Democratic People's Republic of Korea,PRK,25368620,2016
Democratic Republic of Congo,COD,78736153,2016
Denmark,DNK,5731118,2016
Djibouti,DJI,942333,2016
Dominica,DMA,73543,2016
Dominican Republic,DOM,10648791,2016
Early-demographic dividend,EAR,3170542188,2016
East Asia & Pacific,EAS,2296786207,2016
East Asia & Pacific (excluding high income),EAP,2051452657,2016
East Asia & Pacific (IDA & IBRD countries),TEA,2026028438,2016
Ecuador,ECU,16385068,2016
Egypt,EGY,95688681,2016
El Salvador,SLV,6344722,2016
